Path Size;DurationAStar;DurationDijkstra
0;707;19759
384.873;1520;20444
409.644;1477;18106
528.139;3859;20425
483.584;3102;18928
518.523;4810;19331
498.559;3463;19337
664.269;8032;19558
668.373;8707;19515
531.266;5593;22200
479.903;3325;20784
709.005;10648;20057
718.855;9531;19499
836.136;9660;18063
784.663;9080;18607
736.321;9580;19101
779.034;10835;20937
545.248;6004;20982
654.584;8293;20506
717.063;9768;20979
515.231;3899;21118
549.591;8666;22719
500.752;4499;22431
529.912;5737;22639
582.039;8571;24935
548.513;8664;29808
637.642;12266;24233
0;634;23999
240.215;1152;23959
412.081;5330;23882
314.154;2129;28135
349.094;4834;23590
329.129;2529;24068
532.927;9162;24384
537.031;9953;24017
415.207;5454;24202
363.844;3962;24202
577.663;10700;24469
587.512;12215;23677
720.078;13640;23711
668.604;11581;22858
620.263;10633;22910
662.976;11318;22706
429.19;5828;22959
538.526;8988;23129
601.005;10647;23347
552.262;8779;23580
433.533;5735;22584
331.322;2161;22890
413.853;5367;22735
450.696;6488;22914
432.455;5765;22978
546.321;12011;23681
279.614;5915;23235
0;534;23499
199.103;3023;22930
86.673;1081;22905
121.612;1714;23455
101.648;1311;23594
305.446;7408;23672
309.55;7049;23889
237.933;4110;23174
250.534;5483;24797
350.182;7699;23149
360.031;8019;23336
539.268;12920;24075
487.794;11590;24334
439.453;10571;24116
508.325;11539;23781
274.539;5777;23879
447.204;10159;23625
509.683;11698;23712
460.941;11141;23887
310.071;6985;23814
103.237;1456;23311
215.422;3684;24005
223.215;3787;23747
341.133;8046;23913
539.737;14523;25755
273.031;7822;25365
157.707;5092;25242
0;545;24905
138.571;3500;25196
118.332;2485;24443
153.546;4425;24625
206.896;7039;25475
211;7361;25609
139.384;4266;25540
120.021;2679;25127
251.632;7385;25564
261.481;8041;25167
440.718;12074;25320
389.245;11304;26028
340.903;9965;25279
409.775;10983;24760
175.989;5539;24624
407.13;10576;24611
469.609;12325;24779
423.166;11215;25528
200.194;6303;24984
121.078;2978;24788
26.4116;638;24724
124.665;2975;24181
301.059;8631;24350
636.202;13181;23243
369.496;8050;23293
154.232;2818;23260
126.934;2062;23296
0;561;23281
49.4442;1501;23351
29.48;760;23136
233.278;5418;22970
237.381;5715;22875
165.765;3173;23429
178.366;3984;23537
278.014;7087;23150
287.863;7247;22993
467.1;10954;22978
415.626;9363;22847
367.285;8458;23736
436.157;10784;23706
202.371;4160;23623
445.086;10963;23570
586.451;13234;23353
540.009;12558;23248
237.903;5796;22813
40.1416;1125;23609
143.254;2201;23037
151.047;2907;23298
397.821;9402;23127
710.273;13112;22768
443.567;8462;23003
228.303;2339;22487
199.967;2298;22662
91.7288;1027;22877
0;540;23083
102.512;1126;23048
306.31;5741;22947
310.414;5649;23100
238.797;2916;22806
251.398;3360;23527
351.046;7130;23346
360.895;7809;24630
540.132;11759;23552
488.658;10275;23410
440.317;8711;23032
509.189;10296;22791
275.403;4769;23726
518.118;10647;23363
659.483;13100;23244
613.041;12728;23155
310.935;5526;22705
113.174;1225;22733
216.286;2285;22875
224.079;2456;23298
470.853;10028;23383
626.291;13892;23700
359.585;8678;23243
144.322;1941;19627
126.937;1408;18686
20.666;351;19606
49.447;720;19043
0;259;21145
233.281;4693;20583
237.384;5114;20566
165.768;3042;20666
178.368;3196;19540
278.017;5193;18855
287.866;5550;19052
467.103;8388;19395
415.629;7245;20035
367.288;7278;20859
436.159;8717;20249
202.373;3658;20673
445.089;8934;19201
586.454;9752;18962
540.011;9415;19122
237.906;4212;18888
16.049;330;20162
143.257;2164;20278
151.05;2243;20998
397.823;8601;20760
687.364;11552;19386
420.658;7485;18896
263.992;4911;18538
169.417;2827;18641
127.418;1886;19755
90.772;966;21180
138.201;2477;20781
0;409;21206
16.5748;444;20955
157.305;2907;18902
171.829;2757;18575
205.626;3471;18992
215.476;3911;19619
402.14;7702;19501
350.666;6955;20771
302.325;6443;20486
416.208;8393;20476
193.865;3648;19689
436.581;8107;18587
617.235;9720;18540
570.793;9443;18814
229.398;5008;20104
148.863;2774;21099
185.736;3747;20030
110.075;1747;20339
389.315;7983;19517
688.95;10272;18553
422.244;7288;18595
265.578;4797;18592
171.003;2692;18936
129.004;1989;20702
92.3581;978;20639
139.787;2571;20507
14.0573;462;20954
0;426;20516
158.891;2703;18908
173.415;2975;18489
207.212;3430;18607
217.062;3626;18829
403.726;7587;20153
352.252;8225;20498
303.911;6212;20351
417.795;8934;19823
195.451;3521;18679
438.167;7853;18939
618.821;9733;18660
572.379;9512;18877
230.984;4731;20446
150.449;2808;20710
187.322;3550;20393
111.661;1635;20672
390.901;7870;18374
594.841;10079;20155
328.134;7164;20131
213.372;5265;20469
74.4938;1106;22897
132.266;3855;22111
100.869;2636;22276
147.241;4225;22273
133.004;3578;20845
137.107;3164;20607
0;324;20340
76.9058;1159;20414
177.74;4308;21971
187.589;5055;22552
366.826;9763;22553
315.352;8498;22084
267.011;6794;20380
322.559;7114;19984
88.773;1369;20164
331.488;7148;20388
517.97;11135;22464
471.527;10677;22492
124.305;2740;22406
104.956;2310;22023
90.8132;1736;20538
50.773;707;20281
284.223;6464;20295
620.822;10144;22839
354.116;8469;23851
254.15;6244;23430
136.121;2135;23627
199.14;4384;22202
167.744;2154;21633
214.115;4215;21572
215.12;4606;21472
219.224;4555;23027
82.1164;733;23805
0;627;24054
259.856;6291;33218
269.705;6852;21685
386.987;8105;21491
335.513;7117;21512
287.172;6265;21371
329.885;6989;22842
96.0993;778;24106
338.815;8418;23536
494.107;10649;23204
447.664;9407;21368
100.442;663;21479
171.83;2233;21308
152.441;1659;21312
132.889;1305;23045
291.549;8167;23381
1003.34;12120;21700
736.629;10828;21298
621.867;8384;19514
485.388;4785;19467
534.138;6234;19442
497.492;4799;20590
544.922;7273;21713
419.191;3517;21673
423.295;3579;21577
423.977;4075;20364
473.443;4668;19644
0;274;19663
12.2223;282;19544
389.007;1832;19670
337.534;1006;20919
289.192;911;21575
407.128;3163;21589
432.407;4064;21522
565.873;7335;21295
772.125;9530;19255
730.721;9166;19658
467.939;4289;19378
513.451;5306;20935
501.708;6094;21445
376.747;1948;21632
518.321;5878;21087
991.113;11308;20225
724.407;9338;19464
609.645;8168;19565
473.166;4709;19591
521.916;5996;22032
485.27;5324;21656
532.699;7654;21667
406.969;3454;21589
411.073;3723;19948
411.755;3287;20186
461.221;4508;19784
395.762;2568;19820
0;582;21895
376.785;2247;21793
325.311;1202;21876
276.97;784;22243
394.905;2736;21017
420.185;3772;19652
553.651;6885;19457
759.903;9311;19450
718.498;9129;20705
455.717;4976;21514
501.228;6787;21827
489.485;5560;21666
364.525;1911;20885
506.098;5537;19809
915.363;10057;17690
648.657;9313;18636
533.895;8557;19707
397.416;5831;19647
446.166;7418;19734
